,Specialty,specialties(table),Vet,vet_specialties(table),vetList(html),VetRepository,VetController,vets(table),Vets,CacheConfiguration,Visit,VisitRepository,VisitController,visits(table),createOrUpdateVisitForm(html),OwnerController,Owner,ownerDetails(html),createOrUpdateOwnerForm(html),ownersList(html),OwnerRepository,owners(table),Pet,createOrUpdatePetForm(html),PetRepository,PetController,pets(table),PetType,types(table),PetValidator,PetTypeFormatter,findOwners(html),BaseEntity,NamedEntity,Person,PetClinicApplication,WelcomeController,CrashController,error(html),inputField(html),selectField(html),welcome(html),layout(html),package-info
Specialty,1.0,14.58489003441937,31.098889207148904,18.96020279306018,31.098889207148904,31.098889207148904,31.098889207148904,31.703530526277007,31.703530526277007,-0.8486970099079184,-0.608824369471774,-0.608824369471774,-0.608824369471774,-2.4542036530520526,-3.673371223004301,-3.611929983088541,-3.611929983088541,-2.579349453592625,-5.407329921127554,-0.6477106335769013,-3.611929983088541,-0.6477106335769013,-6.37456028673053,-6.828157279783674,-6.37456028673053,-6.37456028673053,-3.241933096709831,-9.166366794906592,-11.008546992991905,-4.941445959414961,-8.751335755960557,-0.6477106335769013,16.843127982024633,18.531162020190166,19.05191793141881,-7.120265644167838,-0.2904644982954724,-0.847129425708767,0.0,-0.8707491079407536,-9.105381367627809,-0.2904644982954724,17.81324438320122,0.0
specialties(table),14.58489003441937,1.0,29.774582791319645,9.121475899906741,29.774582791319645,29.774582791319645,29.774582791319645,27.967425233996853,27.967425233996853,-1.8058988423179505,-0.9960323457330251,-0.9960323457330251,-0.9960323457330251,-5.385936189339215,-0.9740502177020066,0.121656862810322,0.121656862810322,-0.583992195951617,-0.5026877991763008,-0.134511802330863,0.121656862810322,-0.134511802330863,-2.465208149927909,-1.7888268086145878,-2.465208149927909,-2.465208149927909,-2.4679388587771482,-4.5819757830485806,-11.371494154185102,-1.2581246849898082,-5.7415013586076205,-0.134511802330863,15.459481041745914,19.345225801517966,20.250628103837975,-5.1198740183966045,-0.48334751263414605,-1.0647992296593063,0.0,-1.4773691789585612,-5.310940738864671,-0.48334751263414605,15.364376049968463,0.0
Vet,31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
vet_specialties(table),18.96020279306018,9.121475899906741,9.232502314785737,1.0,9.232502314785737,9.232502314785737,9.232502314785737,13.75319600594705,13.75319600594705,-2.603221726297373,-2.958355765013192,-2.958355765013192,-2.958355765013192,-7.116815713708647,-2.8825681968163956,-4.520859621156306,-4.520859621156306,-4.072013357250546,-3.734743187240911,-4.126675192006399,-4.520859621156306,-4.126675192006399,-12.956542731589746,-8.164809713808408,-12.956542731589746,-12.956542731589746,-10.502122625317106,-12.813547044279012,-9.240013416469559,-10.004418870601612,-12.224562978618492,-4.126675192006399,15.70495829623847,17.370278586895633,16.05430255657541,-14.326258373201657,-2.1435276482187353,-1.9964093222441366,0.0,-2.0449286080168325,-5.016953172812987,-2.1435276482187353,16.168747274539697,0.0
vetList(html),31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
VetRepository,31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
VetController,31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
vets(table),31.703530526277007,27.967425233996853,9.704943588122287,13.75319600594705,9.704943588122287,9.704943588122287,9.704943588122287,1.0,1.0,-1.6277859803865147,-1.0934916383841495,-1.0934916383841495,-1.0934916383841495,-5.204902057578902,-2.0766334370643733,-3.553359830742699,-3.553359830742699,-2.7189540985705203,-3.3657381897380385,-8.970361256555714,-3.553359830742699,-8.970361256555714,-13.37633898116918,-8.452500340992623,-13.37633898116918,-13.37633898116918,-13.88042328357088,-11.386955162560021,-5.86230654892308,-10.531331804371833,-8.97516827735541,-8.970361256555714,16.903366129261002,21.53358937622821,16.185105916448393,-12.651266841654978,-5.441962009518815,-2.4529874886686165,0.0,-2.667603580614424,-0.698984058264934,-5.441962009518815,18.700114425751266,0.0
Vets,31.703530526277007,27.967425233996853,9.704943588122287,13.75319600594705,9.704943588122287,9.704943588122287,9.704943588122287,1.0,1.0,-1.6277859803865147,-1.0934916383841495,-1.0934916383841495,-1.0934916383841495,-5.204902057578902,-2.0766334370643733,-3.553359830742699,-3.553359830742699,-2.7189540985705203,-3.3657381897380385,-8.970361256555714,-3.553359830742699,-8.970361256555714,-13.37633898116918,-8.452500340992623,-13.37633898116918,-13.37633898116918,-13.88042328357088,-11.386955162560021,-5.86230654892308,-10.531331804371833,-8.97516827735541,-8.970361256555714,16.903366129261002,21.53358937622821,16.185105916448393,-12.651266841654978,-5.441962009518815,-2.4529874886686165,0.0,-2.667603580614424,-0.698984058264934,-5.441962009518815,18.700114425751266,0.0
CacheConfiguration,-0.8486970099079184,-1.8058988423179505,-2.1494282672831972,-2.603221726297373,-2.1494282672831972,-2.1494282672831972,-2.1494282672831972,-1.6277859803865147,-1.6277859803865147,-34.0,0.422190763508795,0.422190763508795,0.422190763508795,-0.45008634095291583,-5.09422885063636,-1.613091395049911,-1.613091395049911,-4.026806916029796,-6.588588695832351,-1.893873749049681,-1.613091395049911,-1.893873749049681,-0.6555034747929626,-5.9411771628831636,-0.6555034747929626,-0.6555034747929626,-0.9373146332265057,-4.963492724198466,-6.877924506685049,-5.398654317332231,-12.40363004391891,-1.893873749049681,-6.414567430066607,-0.48429198160843856,-2.519774530251556,-4.610160097846829,-1.038591181402357,-5.502603355784403,0.0,-6.186016894813437,-4.6632558738305585,-1.038591181402357,-14.425175681633185,0.0
