,component,ground truth,Execution_and_Component_Name,Execution_and_Component_Sourcecode,Execution_Rate_and_Component_Name,Execution_Rate_and_Component_Sourcecode,Scenario_and_Component_Name,Scenario_and_Component_Sourcecode
0,ExplicitGC,0,0,0,0,0,3,0
1,PingBean,0,0,0,0,0,0,0
2,PingCDIBean,0,0,0,0,0,0,2
3,PingCDIJSF(xhtml),0,0,0,0,0,0,1
4,PingCDIJSFBean,0,0,0,0,0,0,0
5,PingEJBIFace,0,0,0,0,0,0,2
6,PingEJBLocal,0,0,0,0,0,0,2
7,PingEJBLocalDecorator,0,0,0,0,0,0,2
8,PingHtml(html),0,0,0,0,0,0,0
9,PingInterceptor,0,0,0,0,0,0,2
10,PingInterceptorBinding,0,0,0,0,0,0,2
11,PingJDBCRead,0,0,0,0,0,0,0
12,PingJDBCRead2JSP,0,0,0,0,0,0,0
13,PingJDBCWrite,0,0,0,0,0,0,0
14,PingJsf(xhtml),0,0,0,0,0,0,1
15,PingJSONP,0,0,0,0,0,0,0
16,PingJsp(jsp),0,0,0,0,0,0,0
17,PingJspEL(jsp),0,0,0,0,0,0,3
18,PingManagedExecutor,0,0,0,0,0,0,0
19,PingManagedThread,0,0,0,0,0,0,0
20,PingReentryServlet,0,0,0,0,0,0,0
21,PingServlet,0,0,0,0,0,0,0
22,PingServlet2DB,0,0,0,0,0,0,0
23,PingServlet2Entity,0,0,0,0,0,0,0
24,PingServlet2Include,0,0,0,0,0,0,0
25,PingServlet2IncludeRcv,0,0,0,0,0,0,0
26,PingServlet2JNDI,0,0,0,0,0,0,0
27,PingServlet2Jsp,0,0,0,0,0,0,0
28,PingServlet2Jsp(jsp),0,0,0,0,0,0,0
29,PingServlet2MDBQueue,0,0,0,0,0,0,0
30,PingServlet2MDBTopic,0,0,0,0,0,0,0
31,PingServlet2PDF,0,0,0,0,0,0,0
32,PingServlet2Servlet,0,0,0,0,0,0,0
33,PingServlet2ServletRcv,0,0,0,0,0,0,0
34,PingServlet2Session2CMROne2Many,0,0,0,0,0,0,0
35,PingServlet2Session2CMROne2One,0,0,0,0,0,0,0
36,PingServlet2Session2Entity,0,0,0,0,0,0,0
37,PingServlet2Session2Entity2JSP,0,0,0,0,0,0,0
38,PingServlet2Session2EntityCollection,0,0,0,0,0,0,0
