,component,ground truth,Only_Semantics_Component_Name,Only_Semantics_Component_Sourcecode,Only_Behavioral_Scenario,Only_Behavioral_Usecase_Execution,Only_Behavioral_Usecase_Execution_Rate
0,ExplicitGC,0,3,0,0,0,0
1,PingBean,0,0,1,1,0,0
2,PingCDIBean,0,0,0,4,0,0
3,PingCDIJSF(xhtml),0,0,1,0,0,0
4,PingCDIJSFBean,0,0,0,0,0,0
5,PingEJBIFace,0,0,1,4,0,0
6,PingEJBLocal,0,0,1,4,0,0
7,PingEJBLocalDecorator,0,0,1,4,0,0
8,PingHtml(html),0,0,0,0,0,0
9,PingInterceptor,0,0,2,4,0,0
10,PingInterceptorBinding,0,0,4,0,0,0
11,PingJDBCRead,0,0,0,0,0,0
12,PingJDBCRead2JSP,0,0,0,0,0,0
13,PingJDBCWrite,0,0,0,0,0,0
14,PingJsf(xhtml),0,0,1,0,0,0
15,PingJSONP,0,0,3,0,0,0
16,PingJsp(jsp),0,0,0,0,0,0
17,PingJspEL(jsp),0,0,0,0,0,0
18,PingManagedExecutor,0,0,0,0,0,0
19,PingManagedThread,0,0,0,0,0,0
20,PingReentryServlet,0,0,0,0,0,0
21,PingServlet,0,0,0,0,0,0
22,PingServlet2DB,0,0,0,0,0,0
23,PingServlet2Entity,0,0,0,0,0,0
24,PingServlet2Include,0,0,0,0,0,0
25,PingServlet2IncludeRcv,0,0,0,0,0,0
26,PingServlet2JNDI,0,0,0,0,0,0
27,PingServlet2Jsp,0,0,0,1,0,0
28,PingServlet2Jsp(jsp),0,0,0,1,0,0
29,PingServlet2MDBQueue,0,0,0,0,0,0
30,PingServlet2MDBTopic,0,0,0,0,0,0
31,PingServlet2PDF,0,0,0,1,0,0
32,PingServlet2Servlet,0,0,0,0,0,0
33,PingServlet2ServletRcv,0,0,0,0,0,0
34,PingServlet2Session2CMROne2Many,0,0,0,0,0,0
35,PingServlet2Session2CMROne2One,0,0,0,0,0,0
36,PingServlet2Session2Entity,0,0,0,0,0,0
37,PingServlet2Session2Entity2JSP,0,0,0,0,0,0
38,PingServlet2Session2EntityCollection,0,0,0,0,0,0
39,PingServlet2SessionLocal,0,0,0,0,0,0
40,PingServlet2SessionRemote,0,0,0,0,0,0
41,PingServlet2TwoPhase,0,0,0,0,0,0
42,PingServlet30Async,0,0,0,0,0,0
43,PingServlet31Async,0,0,0,0,0,0
44,PingServlet31AsyncRead,0,0,0,0,0,0
45,PingServletCDI,0,0,0,4,0,0
46,PingServletCDIBeanManagerViaCDICurrent,0,0,0,4,0,0
47,PingServletCDIBeanManagerViaJNDI,0,0,0,4,0,0
48,PingServletLargeContentLength,0,0,0,0,0,0
49,PingServletSetContentLength,0,0,0,0,0,0
50,PingServletWriter,0,0,0,0,0,0
51,PingSession1,0,0,0,0,0,0
52,PingSession2,0,0,0,0,0,0
53,PingSession3,0,0,0,3,0,0
54,PingSession3Object,0,0,3,3,0,0
55,PingUpgradeServlet,0,0,0,0,0,0
56,PingWebSocketBinary,0,0,0,0,0,0
57,PingWebSocketBinary(html),0,0,3,0,0,0
58,PingWebSocketJson,0,0,3,2,0,0
59,PingWebSocketJson(html),0,0,3,0,0,0
60,PingWebSocketTextAsync,0,0,0,0,0,0
61,PingWebSocketTextAsync(html),0,0,3,0,0,0
62,PingWebSocketTextSync,0,0,0,0,0,0
63,PingWebSocketTextSync(html),0,0,3,0,0,0
64,TestServlet,0,0,0,0,0,0
65,web_prmtv(html),0,0,0,0,0,0
66,web_prmtv(xhtml),0,0,0,0,0,0
67,account(jsp),1,1,1,0,1,1
68,account(xhtml),1,1,0,0,0,0
69,AccountDataBean,1,1,0,0,0,0
70,AccountDataJSF,1,1,0,0,0,0
71,accountejb(table),1,1,0,0,3,0
72,accountImg(jsp),1,0,1,0,1,1
73,AccountProfileDataBean,1,1,0,0,0,0
74,accountprofileejb(table),1,1,0,0,0,0
75,LoginValidator,1,0,1,0,0,0
76,register(jsp),1,0,1,0,1,1
77,registerImg(jsp),1,0,1,0,1,1
78,register(xhtml),1,0,1,0,0,0
79,JSFLoginFilter,1,0,0,0,0,0
80,welcome(xhtml),1,0,1,0,0,0
81,welcome(jsp),1,0,1,0,0,0
82,welcomeImg(jsp),1,0,1,0,1,1
83,order(jsp),2,2,1,0,2,2
84,order(xhtml),2,2,1,0,0,0
85,OrderData,2,2,0,0,0,0
86,OrderDataBean,2,2,0,0,0,2
87,CompleteOrderThread,2,2,0,0,2,2
88,OrderDataJSF,2,2,0,0,0,0
89,orderejb(table),2,2,0,0,3,0
90,orderImg(jsp),2,0,1,0,2,2
91,OrdersAlertFilter,2,0,0,0,3,0
92,portfolio(jsp),2,1,1,0,2,2
93,portfolio(xhtml),2,1,1,0,0,0
94,portfolioImg(jsp),2,3,1,0,2,2
95,PortfolioJSF,2,1,0,0,0,0
96,HoldingData,2,1,0,0,0,0
97,HoldingDataBean,2,1,0,0,0,2
98,holdingejb(table),2,1,0,0,0,0
99,DTBroker3MDB,2,3,3,0,0,2
100,displayQuote(jsp),3,3,0,0,3,3
101,DTStreamer3MDB,3,0,3,0,0,2
102,marketSummary(html),3,3,0,0,3,3
103,marketSummary(jsp),3,3,1,0,3,3
104,marketSummary(xhtml),3,3,0,0,0,0
105,MarketSummaryDataBean,3,3,0,0,3,3
106,MarketSummaryJSF,3,3,0,0,0,0
107,MarketSummarySingleton,3,3,0,0,0,0
108,MarketSummaryWebSocket,3,3,3,0,3,0
109,quote(jsp),3,3,1,0,3,3
110,quote(xhtml),3,3,1,0,0,0
111,QuoteData,3,3,0,0,0,0
112,QuoteDataBean,3,3,0,0,0,0
113,quoteDataPrimitive(jsp),3,3,0,0,0,0
114,quoteejb(table),3,3,0,0,0,0
115,quoteImg(jsp),3,3,1,0,3,3
116,QuoteJSF,3,3,0,0,0,0
117,RecentStockChangeList,3,0,3,0,3,0
118,config(jsp),4,0,1,0,0,4
119,config(xhtml),4,0,1,0,0,0
120,configure(html),4,0,1,0,0,0
121,configure(xhtml),4,0,1,0,0,0
122,TradeScenarioServlet,4,4,0,0,0,0
123,TradeBuildDB,4,4,0,0,4,4
124,TradeWebContextListener,4,4,0,0,0,0
125,TradeConfig,4,0,0,0,0,0
126,TradeConfigJSF,4,0,0,0,0,0
127,TradeConfigServlet,4,0,0,0,0,4
128,runStats(jsp),4,0,1,0,4,4
129,RunStatsDataBean,4,0,0,0,4,4
130,KeyBlock,-1,0,3,0,0,2
131,keygenejb(table),-1,0,0,0,0,4
132,KeySequenceDirect,-1,0,3,0,0,2
133,TradeAction,-1,4,0,0,0,0
134,TradeAppJSF,-1,4,0,0,0,0
135,TradeAppServlet,-1,4,0,0,0,0
136,TradeDirect,-1,4,0,0,0,0
137,TradeServices,-1,4,0,0,0,0
138,TradeServletAction,-1,4,0,0,0,0
139,TradeSLSBBean,-1,4,0,0,0,0
140,TradeSLSBLocal,-1,4,0,0,0,0
141,TradeSLSBRemote,-1,4,0,0,0,0
142,tradehome(jsp),-1,0,1,0,0,0
143,tradehome(xhtml),-1,4,0,0,0,0
144,tradehomeImg(jsp),-1,4,1,0,1,1
145,FinancialUtils,-1,0,0,0,3,0
146,MDBStats,-1,3,3,0,0,0
147,TimerStat,-1,3,3,0,0,2
148,TradeActionProducer,-1,4,3,0,0,0
149,Log,-1,0,3,0,0,0
150,contentHome(html),-1,0,1,0,0,0
151,footer(html),-1,0,1,0,0,0
152,glossary(html),-1,3,0,0,0,0
153,header(html),-1,0,1,0,0,0
154,index(html),-1,3,1,0,0,0
155,index(xhtml),-1,3,1,0,0,0
156,tradeFAQ(html),-1,4,1,0,0,0
157,tradeFAQ(xhtml),-1,4,1,0,0,0
158,tradeversion(html),-1,4,1,0,0,0
159,ActionDecoder,-1,0,3,0,3,3
160,ActionMessage,-1,0,3,0,3,3
