,component,ground truth,Execution_and_Component_Name,Execution_and_Component_Sourcecode,Execution_Rate_and_Component_Name,Execution_Rate_and_Component_Sourcecode,Scenario_and_Component_Name,Scenario_and_Component_Sourcecode
0,ListOrdersController,0,0,0,0,0,0,0
1,SendOrderConfirmationEmailAdvice,0,0,0,0,0,0,0
2,OrderFormController,0,0,0,0,0,0,0
3,ViewOrderController,0,0,0,0,0,0,0
4,ListOrders(jsp),0,0,0,0,0,0,0
5,ViewOrder(jsp),0,0,0,0,0,0,0
6,NewOrderForm(jsp),0,0,0,0,0,0,0
7,ShippingForm(jsp),0,0,0,0,0,0,0
8,ConfirmOrder(jsp),0,0,0,0,0,0,0
9,OrderDao,0,0,0,0,0,0,0
10,LineItem,0,0,0,0,0,2,0
11,OrderValidator,0,0,0,0,0,0,0
12,Order,0,0,0,0,0,0,0
13,OrderService,0,0,0,0,0,0,0
14,OrderServiceClient,0,0,0,0,0,0,0
15,JaxRpcOrderService,0,0,0,0,0,0,0
16,OrderForm,0,0,0,0,0,0,0
17,Sequence,0,0,0,0,0,0,0
18,SqlMapSequenceDao,0,0,0,0,0,0,0
19,SqlMapOrderDao,0,0,0,0,0,0,0
20,sequence(table),0,0,0,0,0,0,0
21,lineitem(table),0,0,0,0,0,2,0
22,orders(table),0,0,0,0,0,0,0
23,orderstatus(table),0,0,0,0,0,0,0
24,AccountDao,1,1,0,1,1,1,0
25,AccountValidator,1,1,1,1,1,1,1
26,Account,1,1,0,1,0,1,0
27,SignonInterceptor,1,1,0,0,0,0,0
28,UserSession,1,3,0,3,0,3,0
29,SignonController,1,1,1,1,1,1,1
30,AccountFormController,1,1,1,1,1,1,1
31,AccountForm,1,1,1,1,1,1,1
32,SqlMapAccountDao,1,1,0,1,1,1,0
33,SignoffController,1,1,1,1,1,0,2
34,account(table),1,1,0,1,1,1,0
35,profile(table),1,1,0,1,1,1,0
36,signon(table),1,1,0,1,1,1,0
37,bannerdata(table),1,1,0,1,1,1,0
38,EditAccountForm(jsp),1,1,1,1,1,1,1
39,SignonForm(jsp),1,1,0,1,1,1,0
40,IncludeAccountFields(jsp),1,1,1,1,1,1,1
41,IncludeMyList(jsp),1,2,2,2,2,1,2
42,Cart,2,2,0,2,0,2,2
43,CartItem,2,2,0,2,0,2,2
44,RemoveItemFromCartController,2,2,2,2,2,2,2
45,UpdateCartQuantitiesController,2,2,2,2,2,2,2
46,ViewCartController,2,2,0,2,0,2,0
47,AddItemToCartController,2,2,2,2,2,2,2
48,Cart(jsp),2,2,2,2,2,2,2
49,Checkout(jsp),2,0,0,0,0,2,0
50,CategoryDao,3,3,1,1,1,3,1
51,ProductDao,3,3,1,3,3,3,1
52,Product,3,3,0,3,0,3,0
53,Category,3,3,1,1,1,3,1
54,ViewItemController,3,3,3,3,3,2,3
55,ViewCategoryController,3,3,3,3,3,3,1
56,ViewProductController,3,3,3,3,3,3,3
57,SearchProductsController,3,3,3,3,3,3,3
58,SqlMapCategoryDao,3,3,1,1,1,3,1
59,SqlMapProductDao,3,3,1,3,3,3,1
60,category(table),3,3,1,1,1,3,1
61,SearchProducts(jsp),3,3,3,3,3,3,3
62,Category(jsp),3,3,3,3,3,3,1
63,Item(jsp),3,3,3,3,3,2,3
64,Product(jsp),3,3,3,3,3,3,3
65,ItemDao,3,3,0,3,0,2,0
66,product(table),3,3,1,3,3,3,3
67,item(table),3,3,3,3,3,2,3
68,inventory(table),3,3,0,0,0,0,0
69,supplier(table),3,3,0,3,0,3,0
70,Item,3,3,0,3,0,2,0
71,SqlMapItemDao,3,3,0,3,0,2,0
72,index(jsp),3,1,1,1,1,3,1
73,PetStoreFacade,-1,3,0,3,0,2,0
74,PetStoreImpl,-1,3,0,3,0,2,0
75,Error(jsp),-1,1,1,1,1,1,1
76,IncludeBanner(jsp),-1,1,1,2,1,1,2
77,IncludeBottom(jsp),-1,3,0,1,0,1,0
78,IncludeQuickHeader(jsp),-1,1,0,1,0,1,0
79,IncludeTop(jsp),-1,1,0,1,0,1,0
80,index(html),-1,3,0,3,0,3,0
81,help(html),-1,3,0,0,0,0,0
82,OracleSequenceDao,-1,0,0,0,0,0,0
83,MsSqlOrderDao,-1,0,0,0,0,0,0
,,Accuracy,0.952380952,0.654761905,0.880952381,0.773809524,0.857142857,0.654761905
