,component,ground truth,Execution_and_Component_Name,Execution_and_Component_Sourcecode,Execution_Rate_and_Component_Name,Execution_Rate_and_Component_Sourcecode,Scenario_and_Component_Name,Scenario_and_Component_Sourcecode
0,ConfirmOrder(jsp),0,0,0,0,0,0,0
1,LineItem,0,0,0,0,0,0,0
2,lineitem(table),0,0,0,0,0,0,0
3,LineItemMapper,0,0,0,0,0,0,0
4,ListOrders(jsp),0,0,0,0,0,0,0
5,NewOrderForm(jsp),0,0,0,0,0,0,0
6,Order,0,0,0,0,0,0,0
7,OrderActionBean,0,0,0,0,0,0,0
8,OrderMapper,0,0,0,0,0,0,0
9,orders(table),0,0,0,0,0,0,0
10,OrderService,0,0,0,0,0,0,0
11,orderstatus(table),0,0,0,0,0,0,0
12,Sequence,0,0,0,0,0,0,0
13,sequence(table),0,0,0,0,0,0,0
14,SequenceMapper,0,0,0,0,0,0,0
15,ShippingForm(jsp),0,3,0,3,0,3,0
16,ViewOrder(jsp),0,0,0,0,0,0,0
17,Account,1,1,1,1,1,1,0
18,account(table),1,1,1,1,1,1,1
19,AccountActionBean,1,1,1,1,1,1,0
20,AccountMapper,1,1,1,1,1,1,1
21,AccountService,1,1,1,1,1,1,1
22,bannerdata(table),1,1,1,1,1,1,1
23,EditAccountForm(jsp),1,1,1,1,1,1,1
24,IncludeAccountFields(jsp),1,1,1,1,1,1,1
25,NewAccountForm(jsp),1,1,1,1,1,1,1
26,profile(table),1,1,1,1,1,1,1
27,signon(table),1,1,1,1,1,1,1
28,SignonForm(jsp),1,1,1,1,1,1,1
29,IncludeMyList(jsp),1,2,2,2,2,2,2
30,Cart,2,2,2,2,2,2,2
31,Cart(jsp),2,2,2,2,2,2,2
32,CartActionBean,2,2,2,2,2,2,2
33,CartItem,2,2,2,2,2,2,2
34,Checkout(jsp),2,3,2,3,2,3,2
35,CatalogActionBean,3,3,3,3,3,3,3
36,CatalogService,3,3,3,3,3,3,3
37,Category,3,3,3,3,3,3,3
38,Category(jsp),3,3,3,3,3,3,3
39,category(table),3,3,3,3,3,3,3
40,CategoryMapper,3,3,3,3,3,3,3
41,inventory(table),3,3,0,0,0,0,0
42,Item,3,3,2,3,2,3,2
43,Item(jsp),3,3,3,3,3,3,3
44,item(table),3,3,0,3,3,3,0
45,ItemMapper,3,3,0,3,0,3,0
46,Product,3,3,3,3,3,3,3
47,Product(jsp),3,3,3,3,3,3,3
48,product(table),3,3,3,3,3,3,3
49,ProductMapper,3,3,3,3,3,3,3
50,SearchProducts(jsp),3,3,3,3,3,3,3
51,supplier(table),3,3,1,3,1,3,1
52,Main(jsp),3,1,1,1,1,1,1
53,AbstractActionBean,-1,3,3,3,3,3,0
54,Error(jsp),-1,3,2,3,3,3,0
55,IncludeBottom(jsp),-1,3,1,3,1,3,0
56,IncludeTop(jsp),-1,3,1,3,1,3,0
57,index(html),-1,3,2,3,2,3,2
58,help(html),-1,3,2,3,2,3,2
,,Accuracy,0.93220339,0.881355932,0.915254237,0.898305085,0.915254237,0.847457627
