,component,ground truth,Only_Semantics_Component_Name,Only_Semantics_Component_Sourcecode,Only_Behavioral_Scenario,Only_Behavioral_Usecase_Execution,Only_Behavioral_Usecase_Execution_Rate
0,ConfirmOrder(jsp),0,0,3,0,0,0
1,LineItem,0,2,0,0,0,0
2,lineitem(table),0,2,0,0,0,0
3,LineItemMapper,0,2,0,0,0,0
4,ListOrders(jsp),0,0,0,0,0,0
5,NewOrderForm(jsp),0,0,3,0,0,0
6,Order,0,0,0,0,0,0
7,OrderActionBean,0,0,3,0,0,0
8,OrderMapper,0,0,3,0,0,0
9,orders(table),0,0,0,0,0,0
10,OrderService,0,0,0,0,0,0
11,orderstatus(table),0,0,0,0,0,0
12,Sequence,0,3,2,0,0,0
13,sequence(table),0,3,2,0,0,0
14,SequenceMapper,0,3,2,0,0,0
15,ShippingForm(jsp),0,3,3,3,0,0
16,ViewOrder(jsp),0,0,0,0,0,0
17,Account,1,1,3,3,0,0
18,account(table),1,1,3,1,1,1
19,AccountActionBean,1,1,3,3,0,0
20,AccountMapper,1,1,3,1,1,1
21,AccountService,1,1,3,1,1,1
22,bannerdata(table),1,3,1,1,1,1
23,EditAccountForm(jsp),1,1,3,1,1,1
24,IncludeAccountFields(jsp),1,1,3,1,1,1
25,NewAccountForm(jsp),1,1,3,1,1,1
26,profile(table),1,3,1,1,1,1
27,signon(table),1,1,3,1,1,1
28,SignonForm(jsp),1,1,3,1,0,0
29,IncludeMyList(jsp),1,3,3,3,2,2
30,Cart,2,2,0,3,0,2
31,Cart(jsp),2,2,0,3,2,2
32,CartActionBean,2,2,0,3,0,2
33,CartItem,2,2,0,3,0,2
34,Checkout(jsp),2,2,0,3,0,0
35,CatalogActionBean,3,3,3,3,1,3
36,CatalogService,3,3,3,3,0,3
37,Category,3,3,3,2,3,3
38,Category(jsp),3,3,3,2,3,3
39,category(table),3,3,3,2,3,3
40,CategoryMapper,3,3,3,2,3,3
41,inventory(table),3,3,0,0,0,0
42,Item,3,2,0,3,0,0
43,Item(jsp),3,2,0,3,3,3
44,item(table),3,2,0,3,0,3
45,ItemMapper,3,2,0,3,0,0
46,Product,3,3,3,3,0,0
47,Product(jsp),3,3,0,3,3,3
48,product(table),3,3,3,3,0,3
49,ProductMapper,3,3,3,3,1,3
50,SearchProducts(jsp),3,3,3,3,3,3
51,supplier(table),3,3,3,3,0,0
52,Main(jsp),3,3,3,1,1,1
53,AbstractActionBean,-1,3,3,3,0,0
54,Error(jsp),-1,3,3,3,0,0
55,IncludeBottom(jsp),-1,3,3,3,0,0
56,IncludeTop(jsp),-1,3,3,3,0,0
57,index(html),-1,3,3,3,0,0
58,help(html),-1,3,3,3,0,0
,,Accuracy,0.762711864,0.491525424,0.745762712,0.677966102,0.813559322
