,component,ground truth,Only_Semantics_Component_Name,Only_Semantics_Component_Sourcecode,Only_Behavioral_Scenario,Only_Behavioral_Usecase_Execution,Only_Behavioral_Usecase_Execution_Rate
0,Specialty,0,0,0,0,0,0
1,specialties(table),0,0,0,0,0,0
2,Vet,0,0,0,0,0,0
3,vet_specialties(table),0,0,0,0,0,0
4,vetList(html),0,0,0,0,0,0
5,VetRepository,0,0,0,0,0,0
6,VetController,0,0,0,0,0,0
7,vets(table),0,0,0,0,0,0
8,Vets,0,0,0,0,0,0
9,CacheConfiguration,0,0,0,2,1,1
10,Visit,1,1,2,2,1,1
11,VisitRepository,1,1,2,2,1,1
12,VisitController,1,1,2,2,1,1
13,visits(table),1,1,2,2,1,1
14,createOrUpdateVisitForm(html),1,1,2,2,1,1
15,OwnerController,2,2,2,2,1,1
16,Owner,2,2,2,2,1,1
17,ownerDetails(html),2,2,2,2,1,1
18,createOrUpdateOwnerForm(html),2,2,2,2,2,2
19,ownersList(html),2,2,2,2,2,2
20,OwnerRepository,2,2,2,2,1,1
21,owners(table),2,2,2,2,1,1
22,Pet,2,0,2,2,1,1
23,createOrUpdatePetForm(html),2,0,2,1,2,2
24,PetRepository,2,0,2,2,1,1
25,PetController,2,0,2,1,2,2
26,pets(table),2,0,2,2,1,1
27,PetType,2,0,2,2,1,1
28,types(table),2,0,0,2,1,1
29,PetValidator,2,0,2,1,2,2
30,PetTypeFormatter,2,0,2,1,2,2
31,findOwners(html),2,2,2,2,2,2
32,BaseEntity,-1,0,2,2,1,1
33,NamedEntity,-1,0,2,2,1,1
34,Person,-1,0,2,2,1,1
35,PetClinicApplication,-1,0,2,2,1,1
36,WelcomeController,-1,1,2,2,1,1
37,CrashController,-1,0,2,2,1,1
38,error(html),-1,0,1,2,1,1
39,inputField(html),-1,0,1,2,1,1
40,selectField(html),-1,1,1,1,2,2
41,welcome(html),-1,1,2,2,1,1
42,layout(html),-1,0,2,2,1,1
43,package-info,-1,0,2,2,1,1
,,Accuracy,0.795454545,0.863636364,0.772727273,0.75,0.75
