,component,ground truth,Execution_and_Component_Name,Execution_and_Component_Sourcecode,Execution_Rate_and_Component_Name,Execution_Rate_and_Component_Sourcecode,Scenario_and_Component_Name,Scenario_and_Component_Sourcecode
0,ConfirmServlet,0,0,3,0,0,0,0
1,HistoryDAO,0,0,0,0,0,0,0
2,HistoryDAOImpl,0,0,0,0,0,0,0
3,history(jsp),0,0,3,0,0,0,0
4,history(table),0,0,0,0,0,0,0
5,History,0,0,0,0,0,0,0
6,LoginServlet,1,1,1,1,1,1,1
7,RegisterServlet,1,1,1,1,1,1,1
8,ResetPassword,1,1,1,1,1,1,1
9,UpdateUser,1,1,1,1,1,1,1
10,UserDAO,1,1,1,1,1,1,1
11,UserDAOImpl,1,1,1,1,1,1,1
12,login(jsp),1,1,1,1,1,1,1
13,LogoutServlet,1,1,1,1,1,1,3
14,User,1,1,1,1,1,1,1
15,register(jsp),1,1,1,1,1,1,1
16,resetpassword(jsp),1,1,1,1,1,1,1
17,update_user(jsp),1,1,1,1,1,1,1
18,user(table),1,1,1,1,1,1,1
19,cart(jsp),2,2,2,2,2,2,2
20,GioHangServlet,2,2,2,2,2,2,2
21,Cart,2,2,2,2,2,2,2
22,category(jsp),3,3,3,3,3,3,3
23,category(table),3,3,3,3,3,3,3
24,SearchServlet,3,3,3,3,3,3,3
25,CategoryDAO,3,3,3,3,3,3,3
26,CategoryDAOImpl,3,3,3,3,3,3,3
27,ProductDAO,3,3,2,3,3,3,3
28,ProductDAOImpl,3,3,3,3,3,3,3
29,detail(jsp),3,3,3,3,3,3,3
30,Category,3,3,3,3,3,3,3
31,Product,3,3,3,3,3,3,3
32,product(jsp),3,3,3,3,3,3,3
33,product(table),3,3,3,3,3,3,3
34,search_menu(jsp),3,3,3,3,3,3,3
35,search_page(jsp),3,3,3,3,3,3,3
36,index(jsp),3,3,3,1,3,3,3
37,DBConnect,-1,3,3,3,3,3,3
38,footer(jsp),-1,3,3,3,3,3,3
,,Accuracy,1,0.923076923,0.974358974,1,1,0.974358974
