0.538461538,component,ground truth,Only_Semantics_Component_Name,Only_Semantics_Component_Sourcecode,Only_Behavioral_Scenario,Only_Behavioral_Usecase_Execution,Only_Behavioral_Usecase_Execution_Rate
0,ConfirmServlet,0,2,1,3,0,0
1,HistoryDAO,0,0,0,3,1,1
2,HistoryDAOImpl,0,0,0,3,0,0
3,history(jsp),0,0,2,3,0,0
4,history(table),0,0,0,3,0,0
5,History,0,0,0,3,0,0
6,LoginServlet,1,2,1,3,1,1
7,RegisterServlet,1,2,1,3,1,1
8,ResetPassword,1,2,1,1,1,1
9,UpdateUser,1,1,1,3,1,1
10,UserDAO,1,1,1,3,1,1
11,UserDAOImpl,1,1,3,3,1,1
12,login(jsp),1,2,1,1,1,1
13,LogoutServlet,1,2,1,3,1,1
14,User,1,1,1,3,1,1
15,register(jsp),1,2,1,3,1,1
16,resetpassword(jsp),1,2,1,1,1,1
17,update_user(jsp),1,1,1,3,1,1
18,user(table),1,1,1,3,1,1
19,cart(jsp),2,2,2,2,2,2
20,GioHangServlet,2,2,1,2,2,2
21,Cart,2,2,1,2,0,2
22,category(jsp),3,3,3,3,1,1
23,category(table),3,3,3,3,1,1
24,SearchServlet,3,2,1,0,3,3
25,CategoryDAO,3,3,3,3,1,1
26,CategoryDAOImpl,3,3,3,3,1,1
27,ProductDAO,3,1,3,3,1,1
28,ProductDAOImpl,3,1,3,3,1,1
29,detail(jsp),3,1,2,3,3,3
30,Category,3,3,3,3,1,1
31,Product,3,1,3,3,1,1
32,product(jsp),3,1,2,3,1,0
33,product(table),3,1,3,3,1,1
34,search_menu(jsp),3,2,2,0,3,3
35,search_page(jsp),3,2,2,0,3,3
36,index(jsp),3,2,2,3,1,1
37,DBConnect,-1,2,3,3,1,1
38,footer(jsp),-1,2,1,3,1,1
,,Accuracy,0.538461538,0.717948718,0.512820513,0.666666667,0.692307692
